,age,cups,where_drink,brew,favorite,additions,dairy,style,strength,roast_level,caffeine,expertise,coffee_a_bitterness,coffee_a_acidity,coffee_a_personal_preference,coffee_a_notes,coffee_b_bitterness,coffee_b_acidity,coffee_b_personal_preference,coffee_b_notes,coffee_c_bitterness,coffee_c_acidity,coffee_c_personal_preference,coffee_c_notes,coffee_d_bitterness,coffee_d_acidity,coffee_d_personal_preference,coffee_d_notes,prefer_abc,prefer_ad,prefer_overall,total_spend,why_drink,taste,know_source,most_paid,most_willing_to_pay,value_cafe,gender,ethnicity_race
3451,35 a 44,1,['At home'],"['Pour over', ' Other']",Pourover,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Half and half'],Full Bodied,Somewhat strong,Medium,Full caffeine,6.0,1.0,3.0,3.0,"Notes of raw sugar, a bit limp/tea-like",2.0,2.0,4.0,"Earthy, balanced acid and bitterness. Id like it 2x stronger!",3.0,2.0,3.0,"When too hot, this was absolutely insipid. Evolved with time though to show roast notes I expect in “good” coffee.",1.0,4.0,2.0,"Fascinating, but not for every-day drinking.",Coffee B,Coffee A,Coffee B,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,8 a 10,8 a 10,No,Male,White/Caucasian
3452,25 a 34,2,"['At home', ' On the go']","['Pour over', ' Espresso', ' Cold brew']",Other,['No - just black'],,Floral,Somewhat strong,Light,Full caffeine,7.0,4.0,4.0,5.0,,2.0,3.0,3.0,,2.0,3.0,4.0,,3.0,3.0,2.0,,Coffee B,Coffee A,Coffee C,40 a 60,['It tastes good'],Yes,Yes,6 a 8,6 a 8,Yes,Male,Asian/Pacific Islander
3453,35 a 44,2,['At home'],"['Pour over', ' Espresso', ' French press']",Cortado,['No - just black'],,Full Bodied,Somewhat strong,Medium,Full caffeine,6.0,2.0,4.0,3.0,"mango, butterscotch, pineapple",3.0,3.0,2.0,"dark chocolate, nuts",4.0,2.0,4.0,"caramel, milk chocolate",4.0,4.0,5.0,"blueberry, green apple",Coffee C,Coffee D,Coffee D,60 a 80,['It tastes good'],Yes,Yes,6 a 8,10 a 15,No,Male,White/Caucasian
3454,25 a 34,Less than 1,['At home'],['Espresso'],Other,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Chocolatey,Somewhat strong,Dark,Full caffeine,8.0,4.0,5.0,5.0,,2.0,4.0,2.0,,3.0,4.0,4.0,,5.0,3.0,1.0,,Coffee A,Coffee A,Coffee A,20 a 40,['It tastes good'],Yes,Yes,8 a 10,More than 20,No,Male,White/Caucasian
3455,35 a 44,4,['At home'],"['Pour over', ' Espresso']",Pourover,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Skim milk'],Sweet,Medium,Light,Full caffeine,7.0,2.0,5.0,5.0,"Lemon, peach",1.0,2.0,3.0,"Oolong, Pecan",4.0,1.0,2.0,"Chocolate, Earthy",2.0,4.0,4.0,"Pineapple, raspberry",Coffee A,Coffee A,Coffee A,40 a 60,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,More than 20,More than 20,Yes,Male,Asian/Pacific Islander
3456,35 a 44,2,"['At home', ' At the office']",['Pour over'],Pourover,['No - just black'],,Full Bodied,Somewhat strong,Medium,Full caffeine,4.0,4.0,,1.0,,3.0,3.0,3.0,,2.0,3.0,5.0,,3.0,3.0,1.0,,Coffee C,,Coffee C,,,,,,,,,
3457,55 a 64,2,['At home'],"['Pour over', ' French press', ' Coffee brewing machine (e.g. Mr. Coffee)']",Pourover,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Half and half'],Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,3.0,3.0,3.0,This experience informed me that I have no understanding of what bitterness and acidity feel like in coffee.,3.0,3.0,2.0,This experience informed me that I have no understanding of what bitterness and acidity feel like in coffee.,3.0,3.0,4.0,This experience informed me that I have no understanding of what bitterness and acidity feel like in coffee.,3.0,3.0,1.0,This one repulsed me.,Coffee C,Coffee A,Coffee D,20 a 40,['It tastes good'],Yes,Yes,6 a 8,10 a 15,No,Male,White/Caucasian
3458,35 a 44,2,"['At home', ' On the go']",['Pour over'],Pourover,['No - just black'],,Bright,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,4.0,,1.0,1.0,2.0,,3.0,1.0,2.0,,2.0,3.0,5.0,,Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the ritual', ' I need the caffeine']",Yes,Yes,6 a 8,8 a 10,Yes,Male,White/Caucasian
3459,25 a 34,2,['At home'],"['Pour over', ' Espresso', ' Coffee brewing machine (e.g. Mr. Coffee)']",Cortado,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,8.0,2.0,4.0,4.0,Tartness and astringency; apple notes.,4.0,3.0,2.0,Chalky mouthfeel; caramel/chocolate undertones. Some acidity compared to C.,4.0,1.0,1.0,Smooth; roasty; classic,1.0,4.0,5.0,"Fruit forward; sweet. Natural process (guess). Ethiopian? Blueberry fruit, but not citrus forward. That being said, this coffee is higher in acidity. Favorite. Biased because naturals are my favorite.",Coffee A,Coffee D,Coffee D,60 a 80,"['It tastes good', ' I need the caffeine']",Yes,Yes,8 a 10,15 a 20,No,Male,White/Caucasian
3460,18 a 24,2,"['At home', ' At the office']","['Bean-to-cup machine', ' Other']",Americano,['No - just black'],,Full Bodied,Somewhat strong,Dark,Full caffeine,7.0,1.0,5.0,4.0,,3.0,2.0,3.0,,4.0,1.0,4.0,,1.0,3.0,4.0,,Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,10 a 15,More than 20,No,Male,White/Caucasian
3461,25 a 34,1,"['At home', ' At a cafe']",['Pour over'],Pourover,['No - just black'],,Juicy,Medium,Nordic,Full caffeine,4.0,2.0,3.0,4.0,"plum, creamy",3.0,1.0,2.0,"almond, dark chocolate",3.0,2.0,3.0,butterscotch,1.0,4.0,4.0,"red apple, cranberries",Coffee A,Coffee A,Coffee A,,,,,,,,,
3462,25 a 34,Less than 1,"['At the office', ' At home']",['Espresso'],Cold brew,"['Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Almond milk', ' Oat milk', ' Soy milk']",Chocolatey,Somewhat strong,Dark,Full caffeine,2.0,1.0,5.0,2.0,"Vinegar, salty",5.0,1.0,4.0,Chocolate,3.0,2.0,5.0,,2.0,4.0,3.0,"Citrus (orange), poppy seed",Coffee C,Coffee D,Coffee C,Less then 20,['It tastes good'],Yes,No,4 a 6,6 a 8,Yes,Male,White/Caucasian
3463,45 a 54,2,"['At home', ' At a cafe']",['Pour over'],Pourover,['No - just black'],,Fruity,Somewhat strong,Nordic,Full caffeine,5.0,1.0,5.0,5.0,"Syrup, caramel, full, some bitterness after cold",3.0,3.0,3.0,"Key lime pie, light, less clear, chocolatey",3.0,2.0,2.0,"Coco powder, grapefruit, least clarity",1.0,5.0,5.0,"Strawberry, full",Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,More than 20,More than 20,Yes,Male,Hispanic/Latino
3464,25 a 34,Less than 1,"['At home', ' At a cafe']","['Pour over', ' Other']",Cappuccino,['No - just black'],,Nutty,Medium,Medium,Full caffeine,5.0,2.0,4.0,5.0,stone fruit,3.0,3.0,5.0,"smores, milk chocolate",4.0,1.0,2.0,stout beer,1.0,5.0,4.0,fermented,Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,10 a 15,Yes,Prefer not to say,
3465,25 a 34,3,['At home'],"['Cold brew', ' Coffee brewing machine (e.g. Mr. Coffee)', ' Espresso', ' Instant coffee', ' Bean-to-cup machine']",Mocha,"['Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Oat milk']",Chocolatey,Somewhat strong,Dark,Full caffeine,6.0,3.0,5.0,3.0,"Not my favorite, but still decent",1.0,2.0,5.0,Pretty good; I liked it,2.0,1.0,5.0,Pretty good; I liked it,5.0,5.0,3.0,"Not my favorite, but still decent",Coffee C,Coffee A,Coffee C,Less then 20,['It tastes good'],Yes,Yes,6 a 8,6 a 8,No,Female,White/Caucasian
3466,25 a 34,2,['At home'],['Pour over'],Pourover,['No - just black'],,Fruity,Medium,Light,Full caffeine,7.0,2.0,4.0,4.0,caramel and apricot,4.0,2.0,2.0,chocolate and leather,2.0,3.0,2.0,cocoa,1.0,3.0,4.0,cherry and green apple,Coffee A,Coffee D,Coffee D,60 a 80,"['It tastes good', ' I need the ritual']",Yes,Yes,8 a 10,8 a 10,No,Male,
3467,25 a 34,2,['At home'],['Espresso'],Americano,['No - just black'],,Caramalized,Somewhat strong,Medium,Full caffeine,8.0,2.0,4.0,3.0,"Lemon, apricot, not berry",3.0,3.0,3.0,"Wood, oak, nutty, dirt
Lots of flavor in the beginning then immediately all the taste disappears",3.0,2.0,4.0,"Grape, smoke",1.0,5.0,2.0,"Raspberry, tart, black currant",Coffee C,Coffee A,Coffee C,80 a 100,"['It tastes good', ' I need the ritual', ' I need the caffeine']",Yes,Yes,6 a 8,4 a 6,Yes,Male,Asian/Pacific Islander
3468,18 a 24,1,['At home'],['Other'],Espresso,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,5.0,4.0,Lemon,3.0,3.0,3.0,,4.0,1.0,3.0,,2.0,4.0,5.0,"fermented fruit, cranberry",Coffee A,Coffee D,Coffee D,Less then 20,"['It tastes good', ' I need the caffeine']",Yes,Yes,8 a 10,More than 20,No,Male,Asian/Pacific Islander
3469,25 a 34,3,"['At home', ' At a cafe']",['Pour over'],Pourover,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,3.0,,3.0,3.0,3.0,,3.0,3.0,1.0,,3.0,1.0,5.0,,Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,Yes,4 a 6,4 a 6,Yes,Male,White/Caucasian
3470,35 a 44,1,"['At home', ' At the office']","['Espresso', ' Coffee extract (e.g. Cometeer)', ' Instant coffee', ' Other']",Espresso,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Half and half']",Full Bodied,Somewhat strong,Medium,Full caffeine,8.0,3.0,5.0,2.0,"lemon, drying",3.0,2.0,3.0,"Round, semi-sweet chocolate",2.0,2.0,2.0,"Woody, muted",1.0,4.0,5.0,"Pineapple, berries",Coffee B,Coffee D,Coffee D,20 a 40,['It tastes good'],Yes,Yes,10 a 15,15 a 20,Yes,Male,White/Caucasian
3471,25 a 34,1,['At home'],['Coffee brewing machine (e.g. Mr. Coffee)'],Latte,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Caramalized,Medium,Medium,Full caffeine,1.0,2.0,1.0,4.0,bland,3.0,5.0,2.0,acidic,5.0,3.0,2.0,bitter and acidic,4.0,5.0,2.0,acidic,Coffee A,Coffee A,Coffee A,Less then 20,"['It tastes good', ' I need the caffeine', ' It makes me go to the bathroom']",Yes,No,6 a 8,6 a 8,No,Female,Asian/Pacific Islander
3472,18 a 24,2,"['At home', ' At a cafe']","['Espresso', ' Pour over', ' French press']",Cortado,"['Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Oat milk']",Full Bodied,Somewhat strong,Dark,Full caffeine,6.0,1.0,5.0,2.0,,2.0,2.0,5.0,,2.0,3.0,3.0,,1.0,4.0,1.0,,Coffee B,Coffee A,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine', ' It makes me go to the bathroom', ' I need the ritual']",Yes,No,6 a 8,10 a 15,No,Male,White/Caucasian
3473,45 a 54,More than 4,['At home'],"['Pour over', ' Espresso']",Pourover,"['Milk', ' dairy alternative', ' or coffee creamer']",['Half and half'],Fruity,Medium,Light,Full caffeine,8.0,1.0,4.0,5.0,A mix of molasses and raspberry,3.0,2.0,3.0,,4.0,2.0,2.0,,2.0,4.0,4.0,Blueberries,Coffee A,Coffee A,Coffee A,60 a 80,['It tastes good'],Yes,Yes,4 a 6,4 a 6,Yes,Male,White/Caucasian
3474,25 a 34,2,"['At the office', ' At home', ' At a cafe']","['Pour over', ' Espresso']",Iced coffee,['No - just black'],,Fruity,Very strong,Light,Full caffeine,8.0,1.0,3.0,4.0,"I thought that this coffee was really interesting - it changed a ton as it cooled, with a ton of really interesting fruity + bright flavors coming out. Also felt relatively full bodied compared to other coffees that I drink.",2.0,1.0,3.0,"I thought this was a very very neutral coffee - it tasted like classic, very very well balanced coffee. 
It got a bit more interesting as it cooled but overall I thought that the balance worked against it (to me). I think if I got served this at a cafe, I would have been very satisfied and thought it was very well made. I just prefer more chaos in the cup",3.0,1.0,1.0,"I did not like this :( 
As it cooled, the bitterness went down, but when I drank this hot, the bitterness + dark roast was pretty much all I noticed. 
I'm not super well versed in the type of coffee that this is? I think James mentioned Sumatra or something like that and he said that the way that the coffee was processed resulted in a taste that was quite divisive so maybe that is also playing a factor into why I didn't like that cup.",1.0,3.0,5.0,"This was my favorite coffee from hot to cool from the batch. 
Loved how interesting it tasted, and got a ton of berry notes out of it. 
It was also quite light in body with just the right amount of acidity which I love as well. 
Very close to the kind of coffee I normally drink.",Coffee A,Coffee D,Coffee D,40 a 60,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,10 a 15,10 a 15,Yes,Male,
3475,25 a 34,1,"['At the office', ' On the go']",,Latte,"['Milk', ' dairy alternative', ' or coffee creamer']","['Oat milk', ' Whole milk']",Caramalized,,Medium,Full caffeine,2.0,2.0,4.0,3.0,"cherry, fruit loops",2.0,2.0,5.0,"hazelnut, creamy",3.0,3.0,4.0,"wood, almond",2.0,5.0,2.0,lemon,Coffee B,Coffee A,Coffee B,40 a 60,['I need the caffeine'],No,No,6 a 8,8 a 10,No,Female,White/Caucasian
3476,25 a 34,2,['At home'],"['French press', ' Espresso', ' Other', ' Pour over']",Other,['No - just black'],,Caramalized,Somewhat strong,Medium,Full caffeine,5.0,2.0,3.0,4.0,Chocolatey (When hot). Fruity (when cool),3.0,2.0,2.0,"Very general ""coffee"" taste. Soft.",2.0,1.0,3.0,"Nutty, woody",3.0,4.0,3.0,"Fruity. Apple. Pear. Did not like when hot, but enjoyed once cooled down.",Coffee C,Coffee A,Coffee C,40 a 60,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,8 a 10,8 a 10,Yes,Male,
3477,35 a 44,2,['At home'],['Pour over'],Regular drip coffee,['No - just black'],,Fruity,Medium,Medium,Full caffeine,6.0,2.0,4.0,4.0,green apple,3.0,3.0,3.0,"Grassy, Nutty, empty",4.0,3.0,4.0,"Sweet, Earthy, Dark, Chocolate",2.0,4.0,3.0,"Fruity, Berry",Coffee A,Coffee A,Coffee A,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,Yes,4 a 6,4 a 6,Yes,Male,White/Caucasian
3478,25 a 34,1,['At the office'],,Pourover,['No - just black'],,Juicy,Somewhat strong,Light,Full caffeine,6.0,1.0,5.0,3.0,,3.0,1.0,3.0,,4.0,3.0,4.0,,3.0,4.0,5.0,Baked goods,Coffee C,Coffee D,Coffee D,Less then 20,"['I need the ritual', ' It tastes good']",Yes,Yes,8 a 10,8 a 10,No,Male,Asian/Pacific Islander
3479,25 a 34,2,"['At home', ' At the office']","['Espresso', ' Other']",Espresso,['No - just black'],,Fruity,Medium,Light,Full caffeine,7.0,1.0,4.0,3.0,"Vibrant, fruit",2.0,2.0,3.0,Subdued flavors compared to the others,3.0,4.0,4.0,,3.0,5.0,4.0,"Blueberry, almost sour",Coffee C,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine']",Yes,Yes,6 a 8,6 a 8,Yes,Male,White/Caucasian
3480,25 a 34,2,"['At the office', ' At home']","['Pour over', ' Cold brew']",Iced coffee,['No - just black'],,Sweet,Somewhat strong,Light,Full caffeine,7.0,3.0,4.0,4.0,,4.0,1.0,2.0,,5.0,2.0,3.0,,1.0,5.0,5.0,,Coffee A,Coffee D,Coffee D,60 a 80,"['It tastes good', ' I need the caffeine']",Yes,Yes,8 a 10,4 a 6,Yes,Male,White/Caucasian
3481,35 a 44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482,25 a 34,2,"['At the office', ' At home', ' On the go', ' At a cafe']","['Espresso', ' French press', ' Pod/capsule machine (e.g. Keurig/Nespresso)']",Cortado,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Skim milk']",Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,4.0,3.0,5.0,"Rich, nutty chocolate, syrupy, creamy, raspberry, great balance with high clarity",2.0,2.0,2.0,"Clean finish with some chocolate notes, none directional with low clarity",4.0,3.0,3.0,"Smokey, tobacco, earthy. Mid clarity",2.0,4.0,4.0,"Mid body, sugarcane, tart, bouquet of fruit",Coffee A,Coffee A,Coffee A,40 a 60,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,6 a 8,10 a 15,Yes,Male,White/Caucasian
3483,25 a 34,1,"['At home', ' At a cafe']","['Espresso', ' Pour over']",Pourover,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Fruity,Very strong,Light,Full caffeine,8.0,2.0,4.0,5.0,"lemon, bright and sharp citric acidity, light body",5.0,1.0,1.0,"dark chocolate, nutty, a bit burnt, thick body",4.0,2.0,2.0,"chocolatey, medium body",1.0,5.0,5.0,"fermented fruit, berry, wine, light body",Coffee A,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,8 a 10,More than 20,Yes,Male,Asian/Pacific Islander
3484,25 a 34,Less than 1,"['At home', ' At a cafe']",['Pour over'],Cappuccino,['No - just black'],,Chocolatey,Somewhat strong,Medium,Full caffeine,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
3485,18 a 24,Less than 1,"['At a cafe', ' At home']",['Pour over'],Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black']","['Whole milk', ' Half and half']",Fruity,Somewhat light,Light,Decaf,4.0,1.0,5.0,4.0,"Lemony, light",2.0,4.0,5.0,"Chocolatey, medium bodied",4.0,2.0,3.0,"Fruity, full bodied",5.0,4.0,1.0,"Peaty, intense, light",Coffee B,Coffee A,Coffee B,20 a 40,['It tastes good'],Yes,Yes,8 a 10,8 a 10,Yes,Male,Asian/Pacific Islander
3486,25 a 34,2,"['At home', ' At the office']","['Pour over', ' Espresso']",Pourover,['No - just black'],,Chocolatey,Very strong,Medium,Full caffeine,7.0,1.0,3.0,3.0,,2.0,1.0,4.0,,2.0,2.0,5.0,,3.0,4.0,3.0,,Coffee C,Coffee A,Coffee C,20 a 40,['It tastes good'],Yes,Yes,6 a 8,,No,,
3487,35 a 44,1,,['Other'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3488,25 a 34,1,['At home'],['Other'],Regular drip coffee,['No - just black'],,Sweet,Somewhat strong,Light,Full caffeine,8.0,2.0,3.0,4.0,"Fruity, raisin, berry, sweet, less acidic, chocolate strawberry, raspberry, cherry",4.0,1.0,3.0,"Mild, nutty, pistachio, hazelnut",5.0,2.0,3.0,"Bold, bitter, lingering acid/fruit, dark chocolate, almond",2.0,4.0,5.0,"Strawberry, mango, pomegranate, capri-sun, pineapple",Coffee A,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the ritual']",Yes,Yes,6 a 8,8 a 10,Yes,Male,White/Caucasian
3489,45 a 54,Less than 1,"['At home', ' At a cafe']",['Pour over'],Cappuccino,['No - just black'],,Sweet,Medium,Medium,Half caff,1.0,3.0,3.0,3.0,Sourdough bread,4.0,2.0,4.0,Dark chocolate,3.0,1.0,3.0,Grapefruit,1.0,5.0,1.0,Kosher dill pickles,Coffee B,Coffee A,Coffee B,Less then 20,['It tastes good'],Yes,Yes,8 a 10,8 a 10,Yes,Female,Asian/Pacific Islander
3490,25 a 34,2,"['At the office', ' At home', ' At a cafe']","['Espresso', ' Pour over']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer', ' No - just black', ' Flavor syrup']",['Whole milk'],Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,1.0,3.0,4.0,"nutty sweet flavor, more acidic then bitter but very enjoyable",1.0,2.0,3.0,"slightly more acidic then bitter which already feels very low
kind of boring to me, tbh but easily could be a daily drink",2.0,2.0,5.0,"tastes most balanced sweet, bitter, and acidic. very smooth creamy feel",1.0,5.0,2.0,"took a moment but i did taste berries, much better after a few tastings.",Coffee C,Coffee A,Coffee C,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,No,6 a 8,4 a 6,Yes,Male,Hispanic/Latino
3491,25 a 34,Less than 1,['At a cafe'],,Mocha,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Sweet,Medium,Medium,Decaf,1.0,3.0,2.0,3.0,Molasses,2.0,3.0,4.0,Chocolate,2.0,4.0,2.0,Raspberry,1.0,2.0,2.0,Moss,Coffee B,Coffee A,Coffee B,Less then 20,['It tastes good'],Yes,Yes,6 a 8,6 a 8,Yes,Female,Asian/Pacific Islander
3492,18 a 24,Less than 1,"['At home', ' At a cafe']","['Pour over', ' Cold brew']",Pourover,['No - just black'],,Fruity,Somewhat strong,Light,Full caffeine,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3493,25 a 34,1,['At home'],"['Espresso', ' Pour over']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']",['Oat milk'],Juicy,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,3.0,Chocolate/wood/apple. Tastes similar to D but I don’t like this one as much (I think I don’t like the apple?),3.0,3.0,3.0,"Initial thoughts for some reason - rice/grain/beer. Maybe hay, if that’s a thing Smoky/tobacco Keeps changing as it cools. Feels muddy",4.0,2.0,2.0,Maybe some stone fruit and nut notes. Pistachio? Also keeps changing as it cools. I am confused,1.0,5.0,5.0,"I like this one! Very distinct from the other coffees. Feels very clear, with fruity notes and maybe a hint of pepper. The fruity notes are somewhat nuanced, like raisin or raspberry? There is a certain tartness that isn’t quite necessarily sour. Overall tastes most similar to the coffees that I prefer to drink if I’m not adding any milk",Coffee B,Coffee D,Coffee D,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual', ' It makes me go to the bathroom']",Yes,Yes,8 a 10,15 a 20,No,Female,Asian/Pacific Islander
3494,35 a 44,Less than 1,['At a cafe'],,Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer', ' Sugar or sweetener']",['Half and half'],Juicy,Somewhat strong,Light,Full caffeine,2.0,3.0,3.0,4.0,"fruity, silky",4.0,2.0,2.0,"gritty, campfire",3.0,2.0,3.0,"medium, confusing",2.0,3.0,5.0,"sour, ferment-y",Coffee A,Coffee D,Coffee D,Less then 20,['It tastes good'],Yes,Yes,4 a 6,6 a 8,Yes,Male,White/Caucasian
3495,25 a 34,1,['At home'],['Pour over'],Mocha,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Full Bodied,Medium,Light,Full caffeine,6.0,2.0,5.0,3.0,Light,4.0,1.0,5.0,"Chocolate, rich",4.0,2.0,4.0,Richer,3.0,4.0,2.0,"Lemon, Kiwi, light",Coffee B,Coffee A,Coffee B,40 a 60,"['It tastes good', ' I need the ritual']",Yes,Yes,6 a 8,2 a 4,Yes,Male,White/Caucasian
3496,>65,More than 4,"['At home', ' At the office']","['Pour over', ' Espresso']",Latte,"['Milk', ' dairy alternative', ' or coffee creamer', ' Flavor syrup']","['Flavored coffee creamer', ' Coffee creamer']",Sweet,Medium,Dark,Full caffeine,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3497,45 a 54,1,"['At home', ' At the office']","['Pour over', ' Coffee brewing machine (e.g. Mr. Coffee)']",Pourover,['No - just black'],,Sweet,Somewhat light,Light,Half caff,1.0,5.0,2.0,2.0,,3.0,3.0,4.0,,3.0,4.0,2.0,,5.0,2.0,1.0,Had an odd funk,Coffee B,Coffee A,Coffee B,,"['It tastes good', ' I need the ritual']",Yes,Yes,,,Yes,Female,White/Caucasian
3498,25 a 34,1,"['At the office', ' At a cafe', ' On the go']",,Other,"['Milk', ' dairy alternative', ' or coffee creamer']",['Whole milk'],Nutty,Medium,Medium,Half caff,6.0,2.0,3.0,5.0,Dark chocolate & raspberries/cherries,4.0,3.0,3.0,Hazelnut,3.0,4.0,3.0,Chocolate covered almonds/almond skin,2.0,3.0,4.0,"Capri-sun, pineapple front flavor, light mango aftertaste",Coffee A,Coffee A,Coffee A,20 a 40,"['I need the caffeine', ' It tastes good']",Yes,Yes,6 a 8,8 a 10,No,Male,Asian/Pacific Islander
3499,25 a 34,3,"['At the office', ' At a cafe', ' On the go']",,Mocha,"['Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Half and half']",Nutty,,Dark,Half caff,7.0,1.0,2.0,4.0,Cream,2.0,4.0,2.0,Vinegar,1.0,4.0,1.0,Sour apple,2.0,3.0,3.0,Blueberry,Coffee A,Coffee A,Coffee A,40 a 60,"['It tastes good', ' I need the caffeine']",Yes,No,8 a 10,4 a 6,Yes,Female,Asian/Pacific Islander
3500,25 a 34,2,"['At home', ' At the office']",['Pour over'],Pourover,['No - just black'],,Fruity,Medium,Light,Full caffeine,6.0,2.0,4.0,4.0,Light roast,4.0,1.0,2.0,Dark,4.0,1.0,2.0,Dark,1.0,2.0,4.0,Hollow,Coffee A,Coffee A,Coffee A,20 a 40,"['It tastes good', ' I need the ritual']",Yes,Yes,8 a 10,4 a 6,No,Male,Other (please specify)
3501,25 a 34,2,"['At home', ' At a cafe']","['Espresso', ' Pour over']",Latte,"['No - just black', ' Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Oat milk']",Fruity,Somewhat strong,Medium,Full caffeine,7.0,2.0,3.0,4.0,,3.0,2.0,2.0,,3.0,3.0,3.0,,2.0,2.0,5.0,,Coffee A,Coffee D,Coffee D,,,,,,,,,
3502,25 a 34,3,['At home'],['Coffee brewing machine (e.g. Mr. Coffee)'],Regular drip coffee,['No - just black'],,Chocolatey,Somewhat strong,Medium,Full caffeine,6.0,2.0,4.0,4.0,Tastes kind of like molasses.,2.0,4.0,4.0,Sweet and fruity.,3.0,4.0,5.0,Kind of chocolatey. Well balanced flavor.,5.0,5.0,1.0,Tasted like gas station coffee. Very strong without a lot of flavor. Somewhat dry.,Coffee C,Coffee A,Coffee C,20 a 40,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,6 a 8,6 a 8,Yes,Female,White/Caucasian
3503,35 a 44,2,"['At home', ' At the office', ' At a cafe']","['Pour over', ' French press']",Pourover,['No - just black'],,Floral,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,,4.0,1.0,2.0,,3.0,2.0,3.0,,2.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,60 a 80,"['It tastes good', ' I need the caffeine', ' I need the ritual']",Yes,Yes,8 a 10,10 a 15,No,Male,White/Caucasian
3504,25 a 34,1,"['At the office', ' At home']","['Bean-to-cup machine', ' Pod/capsule machine (e.g. Keurig/Nespresso)']",Cappuccino,"['Milk', ' dairy alternative', ' or coffee creamer']","['Whole milk', ' Skim milk']",Bright,Somewhat strong,Medium,Full caffeine,4.0,1.0,5.0,3.0,"Bright, citrusy, smooth",3.0,2.0,5.0,"smooth, round, very ""coffee"", balanced",3.0,1.0,3.0,the most generic coffee (exactly what I'd expect before I knew much),2.0,4.0,2.0,"lemon juice, slightly rotted fruit",Coffee B,Coffee A,Coffee B,40 a 60,"['It tastes good', ' I need the ritual']",Yes,No,8 a 10,8 a 10,Yes,Female,White/Caucasian
